,property_id,property_type,region,transction_date_1,price_1,transaction_date_2,price_2,date_diff
0,100260,Single Family Dwelling,Capital,2023-01-25,1170733.35,2023-02-04,1172434.01,10
1,100260,Single Family Dwelling,Capital,2027-04-02,1461455.99,2027-04-11,1463366.53,9
2,100312,Condo,Metro Vancouver,2022-05-25,1088229.22,2022-07-03,1094395.27,39
3,100412,Single Family Dwelling,Metro Vancouver,2027-08-24,2159304.15,2027-11-24,2199860.77,92
4,100917,Condo,Capital,2028-03-16,1020804.42,2028-07-12,1044345.6,118
5,101224,Condo,Capital,2022-11-20,973624.19,2023-02-24,983268.47,96
6,101377,Townhouse,Nanaimo,2029-05-19,1216694.53,2029-07-27,1231319.73,69
7,101504,Townhouse,Metro Vancouver,2028-04-30,2218072.85,2028-05-29,2233143.12,29
8,101673,Condo,Metro Vancouver,2021-07-10,1000450.72,2021-10-06,1007899.93,88
9,101675,Townhouse,Metro Vancouver,2027-07-10,1336496.18,2027-10-04,1350610.85,86
10,101832,Condo,Metro Vancouver,2026-10-11,1581670.03,2027-02-15,1614285.47,127
11,102526,Single Family Dwelling,Thompson-Nicola,2027-09-10,1058552.65,2027-10-16,1064167.66,36
12,102981,Condo,Nanaimo,2028-08-05,1110898.76,2028-12-16,1136887.5,133
13,104503,Townhouse,Metro Vancouver,2024-10-18,992524.99,2024-10-21,993101.47,3
14,105080,Condo,Central Okanagan,2026-02-04,745749.69,2026-05-11,755385.68,96
15,105288,Condo,Metro Vancouver,2029-09-24,1519274.22,2029-12-14,1539868.88,81
16,105643,Townhouse,Fraser Valley,2026-04-09,927286.74,2026-07-01,933477.27,83
17,105706,Condo,Metro Vancouver,2028-04-17,1781123.21,2028-07-11,1822416.79,85
18,106013,Condo,Metro Vancouver,2021-08-20,1481797.33,2022-01-06,1526705.41,139
19,106034,Condo,Metro Vancouver,2023-11-07,1729462.55,2024-02-09,1744708.76,94
20,106164,Condo,Nanaimo,2025-03-05,323332.88,2025-08-25,333501.65,173
21,106641,Townhouse,Metro Vancouver,2028-12-17,1425504.02,2029-05-01,1459017.47,135
22,106757,Single Family Dwelling,Metro Vancouver,2028-05-09,2081702.52,2028-07-30,2086297.17,82
23,106851,Condo,Capital,2027-08-30,906112.18,2027-11-12,918769.98,74
24,107965,Townhouse,Capital,2025-03-25,821012.83,2025-07-01,837550.14,98
25,108081,Townhouse,Metro Vancouver,2028-05-29,1482558.02,2028-08-25,1493282.09,88
26,108821,Townhouse,Central Okanagan,2026-06-23,982325.06,2026-11-25,1008225.3,155
27,109216,Condo,Metro Vancouver,2028-11-20,1241271.07,2029-02-24,1251540.33,96
28,109337,Condo,Metro Vancouver,2025-04-22,2052365.02,2025-07-20,2085645.81,89
29,109727,Townhouse,Metro Vancouver,2028-09-11,1077633.25,2028-10-01,1082542.37,20
30,109868,Condo,Metro Vancouver,2028-11-12,2175105.22,2029-03-09,2222896.59,117
31,109868,Condo,Metro Vancouver,2029-03-09,2222896.59,2029-07-15,2276384.78,128
32,110341,Condo,Cappital,2029-03-20,1111360.23,2029-09-03,1145956.82,167
33,110355,Townhouse,Metro Vancouver,2021-01-17,1320517.42,2021-01-28,1322932.73,11
34,110529,Townhouse,Central Okanagan,2028-05-14,634866.08,2028-09-07,634653.11,116
35,110603,Townhouse,Central Okanagan,2025-05-22,1094588.12,2025-09-30,1127766.69,131
36,110859,Single Family Dwelling,Metro Vancouver,2029-02-15,1183540.4,2029-06-08,1209877.76,113
37,110859,Single Family Dwelling,Metro Vancouver,2029-06-08,1209877.76,2029-09-01,1230074.58,85
